Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
13/08/2025 20:54:14,13/08/2025,19:00:00,Culto,Culto de Quarta,Pastora Cida ,Negativo ou Positivo ,SIM,Ele veio para libertar os cativos ,37,49,20,2,19,
17/08/2025 10:29:32,17/08/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Igreja Família ,SIM,Paternidade Orfandade ,32,45,7,3,19,
18/08/2025 13:39:24,17/08/2025,17:00:00,Culto,Culto de Celebração,Pastor Alberto ,Igreja Família ,SIM,Paternidade Orfandade ,33,57,11,6,27,
18/08/2025 13:43:06,17/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Alberto ,Igreja Família ,SIM,Paternidade Orfandade ,68,99,38,13,31,
20/08/2025 21:41:25,20/08/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Vencendo Fortalezas,SIM,Ele veio para libertar os cativos ,38,52,15,3,28,
24/08/2025 11:28:08,24/08/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,A Casa do Pai ,SIM,Paternidade Orfandade ,27,42,10,0,18,
24/08/2025 18:49:34,24/08/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,A Casa do Pai ,SIM,Paternidade Orfandade ,27,47,8,8,24,
24/08/2025 20:58:54,24/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,A Casa do Pai ,SIM,Paternidade Orfandade ,57,63,20,7,26,Apelo-  2
27/08/2025 22:16:44,27/08/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,Vivendo sem Amarras ,SIM,Ele veio para libertar os cativos ,31,56,20,4,20,
31/08/2025 11:12:10,31/08/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Vencendo o Espírito de Orfandade ,SIM,Paternidade Orfandade ,33,49,13,4,21,
31/08/2025 20:22:40,31/08/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Vencendo o Espírito de Orfandade ,SIM,Paternidade Orfandade ,35,72,13,2,23,
31/08/2025 21:00:36,31/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Vencendo o Espírito de Orfandade ,SIM,Paternidade Orfandade ,51,58,27,7,27,Apelo-  4
03/09/2025 22:02:26,03/09/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,O coração Ferido ,SIM,As Palavras de Jesus Curam!,38,73,19,3,24,
